time	V(n003)	V(n006)
3.875408070599965e-006	1.499654e+001	1.500269e+001
3.911122356314251e-006	1.499677e+001	1.500208e+001
3.936791999171394e-006	1.499693e+001	1.500168e+001
3.962461642028538e-006	1.499708e+001	1.500132e+001
3.988131284885681e-006	1.499723e+001	1.500099e+001
4.013800927742825e-006	1.499739e+001	1.500070e+001
4.039470570599969e-006	1.499754e+001	1.500045e+001
4.065140213457112e-006	1.499768e+001	1.500023e+001
4.090809856314255e-006	1.499783e+001	1.500005e+001
4.114247356314256e-006	1.499795e+001	1.499989e+001
4.137684856314256e-006	1.499808e+001	1.499976e+001
4.161122356314257e-006	1.499820e+001	1.499965e+001
4.184559856314258e-006	1.499831e+001	1.499955e+001
4.207997356314258e-006	1.499842e+001	1.499946e+001
4.231434856314259e-006	1.499853e+001	1.499939e+001
4.254872356314259e-006	1.499863e+001	1.499934e+001
4.270497356314260e-006	1.499869e+001	1.499930e+001
4.286122356314260e-006	1.499876e+001	1.499928e+001
4.301747356314260e-006	1.499882e+001	1.499925e+001
4.317372356314261e-006	1.499887e+001	1.499923e+001
4.332997356314261e-006	1.499893e+001	1.499922e+001
4.340809856314261e-006	1.499896e+001	1.499921e+001
4.348622356314262e-006	1.499899e+001	1.499920e+001
4.356434856314262e-006	1.499901e+001	1.499920e+001
4.364247356314262e-006	1.499904e+001	1.499920e+001
4.372059856314262e-006	1.499906e+001	1.499919e+001
4.379872356314262e-006	1.499909e+001	1.499919e+001
4.387684856314262e-006	1.499911e+001	1.499919e+001
4.395497356314263e-006	1.499914e+001	1.499919e+001
4.403309856314263e-006	1.499916e+001	1.499919e+001
4.411122356314263e-006	1.499919e+001	1.499919e+001
4.418934856314263e-006	1.499921e+001	1.499919e+001
4.426747356314263e-006	1.499923e+001	1.499919e+001
4.434559856314264e-006	1.499925e+001	1.499919e+001
4.442372356314264e-006	1.499927e+001	1.499919e+001
4.450184856314264e-006	1.499930e+001	1.499919e+001
4.457997356314264e-006	1.499932e+001	1.499919e+001
4.465809856314264e-006	1.499934e+001	1.499920e+001
4.473622356314265e-006	1.499936e+001	1.499920e+001
4.481434856314265e-006	1.499938e+001	1.499920e+001
4.489247356314265e-006	1.499939e+001	1.499921e+001
4.497059856314265e-006	1.499941e+001	1.499921e+001
4.504872356314265e-006	1.499943e+001	1.499922e+001
4.512684856314265e-006	1.499945e+001	1.499922e+001
4.520497356314266e-006	1.499947e+001	1.499923e+001
4.528309856314266e-006	1.499948e+001	1.499924e+001
4.536122356314266e-006	1.499950e+001	1.499924e+001
4.543934856314266e-006	1.499952e+001	1.499925e+001
4.551747356314266e-006	1.499953e+001	1.499926e+001
4.559559856314267e-006	1.499955e+001	1.499926e+001
4.567372356314267e-006	1.499956e+001	1.499927e+001
4.582997356314267e-006	1.499959e+001	1.499928e+001
4.598622356314268e-006	1.499962e+001	1.499930e+001
4.614247356314268e-006	1.499964e+001	1.499931e+001
4.629872356314268e-006	1.499967e+001	1.499933e+001
4.653309856314269e-006	1.499970e+001	1.499936e+001
4.676747356314269e-006	1.499974e+001	1.499938e+001
4.692372356314270e-006	1.499976e+001	1.499940e+001
4.707997356314270e-006	1.499978e+001	1.499942e+001
4.723622356314271e-006	1.499979e+001	1.499943e+001
4.739247356314271e-006	1.499981e+001	1.499945e+001
4.754872356314271e-006	1.499983e+001	1.499947e+001
4.762684856314272e-006	1.499984e+001	1.499948e+001
4.770497356314272e-006	1.499984e+001	1.499949e+001
4.778309856314272e-006	1.499985e+001	1.499950e+001
4.786122356314272e-006	1.499986e+001	1.499951e+001
4.793934856314272e-006	1.499986e+001	1.499951e+001
4.801747356314273e-006	1.499987e+001	1.499952e+001
4.809559856314273e-006	1.499988e+001	1.499953e+001
4.817372356314273e-006	1.499988e+001	1.499954e+001
4.825184856314273e-006	1.499989e+001	1.499955e+001
4.832997356314273e-006	1.499990e+001	1.499956e+001
4.840809856314273e-006	1.499990e+001	1.499956e+001
4.848622356314274e-006	1.499991e+001	1.499957e+001
4.856434856314274e-006	1.499991e+001	1.499958e+001
4.864247356314274e-006	1.499992e+001	1.499959e+001
4.872059856314274e-006	1.499992e+001	1.499960e+001
4.887684856314275e-006	1.499993e+001	1.499961e+001
4.903309856314275e-006	1.499994e+001	1.499963e+001
4.918934856314275e-006	1.499995e+001	1.499964e+001
4.934559856314276e-006	1.499996e+001	1.499966e+001
4.957997356314276e-006	1.499997e+001	1.499968e+001
4.981434856314277e-006	1.499998e+001	1.499970e+001
5.004872356314277e-006	1.499999e+001	1.499972e+001
5.027193784885706e-006	1.499999e+001	1.499974e+001
5.049515213457136e-006	1.500000e+001	1.499976e+001
5.071836642028565e-006	1.500000e+001	1.499977e+001
5.094158070599994e-006	1.500001e+001	1.499979e+001
5.116479499171423e-006	1.500001e+001	1.499980e+001
5.138800927742853e-006	1.500002e+001	1.499982e+001
5.161122356314281e-006	1.500002e+001	1.499983e+001
5.189024142028567e-006	1.500002e+001	1.499985e+001
5.216925927742854e-006	1.500003e+001	1.499986e+001
5.244827713457141e-006	1.500003e+001	1.499988e+001
5.272729499171427e-006	1.500003e+001	1.499989e+001
5.300631284885713e-006	1.500003e+001	1.499990e+001
5.328533070600000e-006	1.500003e+001	1.499991e+001
5.356434856314286e-006	1.500003e+001	1.499992e+001
5.392149142028572e-006	1.500003e+001	1.499993e+001
5.427863427742860e-006	1.500003e+001	1.499994e+001
5.463577713457146e-006	1.500003e+001	1.499995e+001
5.499291999171432e-006	1.500003e+001	1.499996e+001
5.535006284885719e-006	1.500003e+001	1.499997e+001
5.570720570600006e-006	1.500003e+001	1.499997e+001
5.606434856314292e-006	1.500002e+001	1.499998e+001
5.634336642028578e-006	1.500002e+001	1.499998e+001
5.662238427742865e-006	1.500002e+001	1.499999e+001
5.690140213457151e-006	1.500002e+001	1.499999e+001
5.718041999171438e-006	1.500002e+001	1.499999e+001
5.745943784885725e-006	1.500002e+001	1.499999e+001
5.773845570600011e-006	1.500002e+001	1.500000e+001
5.801747356314297e-006	1.500002e+001	1.500000e+001
5.824068784885726e-006	1.500002e+001	1.500000e+001
5.846390213457155e-006	1.500001e+001	1.500000e+001
5.868711642028584e-006	1.500001e+001	1.500000e+001
5.891033070600014e-006	1.500001e+001	1.500000e+001
5.913354499171442e-006	1.500001e+001	1.500000e+001
5.935675927742872e-006	1.500001e+001	1.500000e+001
5.957997356314301e-006	1.500001e+001	1.500000e+001
5.981434856314301e-006	1.500001e+001	1.500000e+001
6.004872356314302e-006	1.500001e+001	1.500000e+001
6.028309856314302e-006	1.500001e+001	1.500001e+001
6.050000000000001e-006	1.500001e+001	1.500001e+001
6.050014047854103e-006	1.499998e+001	1.500001e+001
6.050042143562308e-006	1.499990e+001	1.500001e+001
6.050053732040323e-006	1.499985e+001	1.500001e+001
6.050064830354233e-006	1.499979e+001	1.500001e+001
6.050076327515299e-006	1.499972e+001	1.500001e+001
6.050086995579796e-006	1.499964e+001	1.500001e+001
6.050107417632696e-006	1.499946e+001	1.500001e+001
6.050131640891086e-006	1.499920e+001	1.500001e+001
6.050168286016718e-006	1.499875e+001	1.500001e+001
6.050212284276948e-006	1.499809e+001	1.500000e+001
6.050275231200960e-006	1.499699e+001	1.500000e+001
6.050355960716728e-006	1.499537e+001	1.500000e+001
6.050423751673840e-006	1.499386e+001	1.500000e+001
6.050499789691366e-006	1.499201e+001	1.500000e+001
6.050578420708315e-006	1.498996e+001	1.500000e+001
6.050718921222479e-006	1.498606e+001	1.499999e+001
6.050900721794865e-006	1.498067e+001	1.499998e+001
6.051194837300485e-006	1.497135e+001	1.499996e+001
6.051608781482219e-006	1.495713e+001	1.499991e+001
6.052276568659985e-006	1.493182e+001	1.499978e+001
6.053216039780385e-006	1.489178e+001	1.499950e+001
6.054564584982491e-006	1.482626e+001	1.499887e+001
6.056380668415872e-006	1.472503e+001	1.499751e+001
6.058945777024446e-006	1.456109e+001	1.499445e+001
6.062536611553117e-006	1.430044e+001	1.498772e+001
6.067253690216690e-006	1.391632e+001	1.497399e+001
6.073757358443684e-006	1.333120e+001	1.494547e+001
6.081569858443684e-006	1.256740e+001	1.489656e+001
6.089382358443685e-006	1.175548e+001	1.483346e+001
6.092187500000001e-006	1.145117e+001	1.480643e+001
6.095595566225265e-006	1.106943e+001	1.476911e+001
6.100000000000000e-006	1.056186e+001	1.471520e+001
6.100241169867580e-006	1.053755e+001	1.471205e+001
6.100723509602738e-006	1.049246e+001	1.470569e+001
6.101688189073055e-006	1.041082e+001	1.469280e+001
6.103617548013689e-006	1.026418e+001	1.466637e+001
6.106849481897608e-006	1.005267e+001	1.462046e+001
6.113313349665446e-006	9.699697e+000	1.452451e+001
6.121125849665446e-006	9.337145e+000	1.440333e+001
6.128938349665446e-006	9.014881e+000	1.427710e+001
6.136750849665446e-006	8.712838e+000	1.414637e+001
6.144563349665446e-006	8.422047e+000	1.401164e+001
6.152375849665447e-006	8.139498e+000	1.387325e+001
6.168000849665447e-006	7.595542e+000	1.358652e+001
6.183625849665447e-006	7.077906e+000	1.328815e+001
6.199250849665448e-006	6.585507e+000	1.297993e+001
6.214875849665448e-006	6.117485e+000	1.266351e+001
6.230500849665449e-006	5.673006e+000	1.234043e+001
6.238313349665449e-006	5.459337e+000	1.217683e+001
6.246125849665449e-006	5.251246e+000	1.201209e+001
6.253938349665449e-006	5.048633e+000	1.184638e+001
6.261750849665449e-006	4.851396e+000	1.167983e+001
6.269563349665449e-006	4.659434e+000	1.151261e+001
